Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
Belgium,Jupiler League,,,,,,,,,,,,,,,,,,,,
